Epoch: 0, Train Loss: 1.437809341094073, Train Accuracy: 46.716, Test Loss: 1.1313948452472686, Test Accuracy: 59.57
Epoch: 1, Train Loss: 0.9182555541358031, Train Accuracy: 67.398, Test Loss: 1.132530248761177, Test Accuracy: 63.14
Epoch: 2, Train Loss: 0.6955126174880416, Train Accuracy: 75.76, Test Loss: 0.7129305693507194, Test Accuracy: 75.9
Epoch: 3, Train Loss: 0.5824400833653062, Train Accuracy: 79.87, Test Loss: 0.6471838733553886, Test Accuracy: 78.11
Epoch: 4, Train Loss: 0.5031091748448588, Train Accuracy: 82.652, Test Loss: 0.7169964706897736, Test Accuracy: 76.22
Epoch: 5, Train Loss: 0.4456028058705732, Train Accuracy: 84.526, Test Loss: 0.6953057220578194, Test Accuracy: 77.85
Epoch: 6, Train Loss: 0.4062431023248931, Train Accuracy: 85.996, Test Loss: 0.578787792623043, Test Accuracy: 80.89
Epoch: 7, Train Loss: 0.3626809531389295, Train Accuracy: 87.374, Test Loss: 0.5788886868953704, Test Accuracy: 81.35
Epoch: 8, Train Loss: 0.33374477602789165, Train Accuracy: 88.532, Test Loss: 0.3884242233633995, Test Accuracy: 87.05
Epoch: 9, Train Loss: 0.3091280689782194, Train Accuracy: 89.374, Test Loss: 0.4345109310746193, Test Accuracy: 85.91
Epoch: 10, Train Loss: 0.29021648123212485, Train Accuracy: 90.1, Test Loss: 0.4090623000264168, Test Accuracy: 86.52
Epoch: 11, Train Loss: 0.2638122016740272, Train Accuracy: 90.95, Test Loss: 0.3822981564700603, Test Accuracy: 87.26
Epoch: 12, Train Loss: 0.2501473076584394, Train Accuracy: 91.27, Test Loss: 0.37426262885332107, Test Accuracy: 88.06
Epoch: 13, Train Loss: 0.2344236277100985, Train Accuracy: 91.918, Test Loss: 0.3720945480465889, Test Accuracy: 88.23
Epoch: 14, Train Loss: 0.21742663000855605, Train Accuracy: 92.388, Test Loss: 0.3806372478604317, Test Accuracy: 87.65
Epoch: 15, Train Loss: 0.2110884220665678, Train Accuracy: 92.634, Test Loss: 0.343739460632205, Test Accuracy: 88.59
Epoch: 16, Train Loss: 0.19538519386668948, Train Accuracy: 93.19, Test Loss: 0.3781305848062038, Test Accuracy: 88.29
Epoch: 17, Train Loss: 0.1889770522408778, Train Accuracy: 93.382, Test Loss: 0.4246914426982403, Test Accuracy: 87.59
Epoch: 18, Train Loss: 0.17746399261076432, Train Accuracy: 93.75, Test Loss: 0.40841559067368505, Test Accuracy: 88.17
Epoch: 19, Train Loss: 0.17073928929693863, Train Accuracy: 94.134, Test Loss: 0.37526242844760416, Test Accuracy: 88.89
Epoch: 20, Train Loss: 0.15788063919528975, Train Accuracy: 94.482, Test Loss: 0.4149066111445427, Test Accuracy: 87.99
Epoch: 21, Train Loss: 0.14960048200986575, Train Accuracy: 94.756, Test Loss: 0.4686046168208122, Test Accuracy: 87.53
Epoch: 22, Train Loss: 0.14664102803982432, Train Accuracy: 94.964, Test Loss: 0.4492415314912796, Test Accuracy: 87.19
Epoch: 23, Train Loss: 0.13627909605041186, Train Accuracy: 95.256, Test Loss: 0.34416171967983245, Test Accuracy: 89.69
Epoch: 24, Train Loss: 0.1288984564640333, Train Accuracy: 95.484, Test Loss: 0.41064335316419603, Test Accuracy: 88.68
Epoch: 25, Train Loss: 0.12832120654489987, Train Accuracy: 95.558, Test Loss: 0.4169526307284832, Test Accuracy: 88.67
Epoch: 26, Train Loss: 0.1157396661541651, Train Accuracy: 95.956, Test Loss: 0.37890847072005274, Test Accuracy: 89.22
Epoch: 27, Train Loss: 0.11460709518007457, Train Accuracy: 95.938, Test Loss: 0.32818106435239314, Test Accuracy: 90.44
Epoch: 28, Train Loss: 0.11526444057941132, Train Accuracy: 96.01, Test Loss: 0.39979138508439066, Test Accuracy: 89.06
Epoch: 29, Train Loss: 0.10411337761165541, Train Accuracy: 96.32, Test Loss: 0.345253664329648, Test Accuracy: 90.27
Epoch: 30, Train Loss: 0.09984438472887135, Train Accuracy: 96.492, Test Loss: 0.3469312635064125, Test Accuracy: 90.24
Epoch: 31, Train Loss: 0.097279920521409, Train Accuracy: 96.602, Test Loss: 0.3747141134738922, Test Accuracy: 89.52
Epoch: 32, Train Loss: 0.08858586081763363, Train Accuracy: 96.922, Test Loss: 0.3847005261480808, Test Accuracy: 89.99
Epoch: 33, Train Loss: 0.09123402738424442, Train Accuracy: 96.804, Test Loss: 0.4056723487377167, Test Accuracy: 89.2
Epoch: 34, Train Loss: 0.08720219053823472, Train Accuracy: 96.962, Test Loss: 0.4067902766168118, Test Accuracy: 89.34
Epoch: 35, Train Loss: 0.08569584083755302, Train Accuracy: 97.006, Test Loss: 0.35277407556772233, Test Accuracy: 90.86
Epoch: 36, Train Loss: 0.08106123356391555, Train Accuracy: 97.142, Test Loss: 0.4323477789014578, Test Accuracy: 89.19
Epoch: 37, Train Loss: 0.08186040530719645, Train Accuracy: 97.206, Test Loss: 0.3417718472331762, Test Accuracy: 90.79
Epoch: 38, Train Loss: 0.07003100926432844, Train Accuracy: 97.51, Test Loss: 0.4051495525240898, Test Accuracy: 89.76
Epoch: 39, Train Loss: 0.07666081008846726, Train Accuracy: 97.246, Test Loss: 0.3505029797554016, Test Accuracy: 90.42
Epoch: 40, Train Loss: 0.07529285516294525, Train Accuracy: 97.312, Test Loss: 0.3502533322572708, Test Accuracy: 90.51
Epoch: 41, Train Loss: 0.06886727273788142, Train Accuracy: 97.6, Test Loss: 0.3808365468680859, Test Accuracy: 90.33
Epoch: 42, Train Loss: 0.06624186612413172, Train Accuracy: 97.71, Test Loss: 0.35557022571563723, Test Accuracy: 90.79
Epoch: 43, Train Loss: 0.05989657331715383, Train Accuracy: 97.892, Test Loss: 0.35825555823743344, Test Accuracy: 91.13
Epoch: 44, Train Loss: 0.06745012352466964, Train Accuracy: 97.664, Test Loss: 0.34076490946114063, Test Accuracy: 91.0
Epoch: 45, Train Loss: 0.06434187804208234, Train Accuracy: 97.836, Test Loss: 0.3546459733694792, Test Accuracy: 90.74
Epoch: 46, Train Loss: 0.05258268999207355, Train Accuracy: 98.116, Test Loss: 0.34092372372746466, Test Accuracy: 91.1
Epoch: 47, Train Loss: 0.060344024516089494, Train Accuracy: 97.902, Test Loss: 0.34146055482327936, Test Accuracy: 90.79
Epoch: 48, Train Loss: 0.06119440985209954, Train Accuracy: 97.862, Test Loss: 0.32295485474169255, Test Accuracy: 91.26
Epoch: 49, Train Loss: 0.05477935308352341, Train Accuracy: 98.108, Test Loss: 0.41078694418072703, Test Accuracy: 89.75
Epoch: 50, Train Loss: 0.05274567599324962, Train Accuracy: 98.156, Test Loss: 0.3792332876473665, Test Accuracy: 90.31
Epoch: 51, Train Loss: 0.058499242005217104, Train Accuracy: 97.966, Test Loss: 0.4306932286918163, Test Accuracy: 89.35
Epoch: 52, Train Loss: 0.05030458747311626, Train Accuracy: 98.222, Test Loss: 0.3694710750877857, Test Accuracy: 91.11
