Epoch: 0, Train Loss: 1.5821953761912977, Train Accuracy: 41.248, Test Loss: 1.5403538644313812, Test Accuracy: 46.21
Epoch: 1, Train Loss: 1.0262265348678354, Train Accuracy: 63.224, Test Loss: 1.2841389042139053, Test Accuracy: 59.18
Epoch: 2, Train Loss: 0.8054991555793206, Train Accuracy: 71.776, Test Loss: 0.8613312232494355, Test Accuracy: 70.54
Epoch: 3, Train Loss: 0.6811016574692543, Train Accuracy: 76.386, Test Loss: 0.7791688066720962, Test Accuracy: 72.98
Epoch: 4, Train Loss: 0.6064969840104623, Train Accuracy: 79.27, Test Loss: 0.7161221557855606, Test Accuracy: 76.4
Epoch: 5, Train Loss: 0.5625247395099582, Train Accuracy: 80.788, Test Loss: 0.5768447059392929, Test Accuracy: 79.85
Epoch: 6, Train Loss: 0.5341911151281098, Train Accuracy: 81.712, Test Loss: 0.6853009670972824, Test Accuracy: 77.51
Epoch: 7, Train Loss: 0.5047239022486655, Train Accuracy: 82.838, Test Loss: 0.7186877673864365, Test Accuracy: 75.69
Epoch: 8, Train Loss: 0.483967679007279, Train Accuracy: 83.63, Test Loss: 0.9957917404174804, Test Accuracy: 69.56
Epoch: 9, Train Loss: 0.463782768001032, Train Accuracy: 84.074, Test Loss: 0.5555445241928101, Test Accuracy: 81.17
Epoch: 10, Train Loss: 0.4474857697249069, Train Accuracy: 84.686, Test Loss: 1.0228128534555436, Test Accuracy: 70.26
Epoch: 11, Train Loss: 0.435722008118849, Train Accuracy: 85.13, Test Loss: 0.7566026997566223, Test Accuracy: 75.59
Epoch: 12, Train Loss: 0.43473408521746126, Train Accuracy: 85.292, Test Loss: 0.5834939527511597, Test Accuracy: 81.36
Epoch: 13, Train Loss: 0.4084524928456377, Train Accuracy: 86.166, Test Loss: 0.5434499430656433, Test Accuracy: 82.44
Epoch: 14, Train Loss: 0.40374430884485657, Train Accuracy: 86.308, Test Loss: 0.5146987071633339, Test Accuracy: 82.7
Epoch: 15, Train Loss: 0.40021767434866534, Train Accuracy: 86.352, Test Loss: 0.6411707016825676, Test Accuracy: 77.33
Epoch: 16, Train Loss: 0.3961990372375454, Train Accuracy: 86.384, Test Loss: 1.236018786430359, Test Accuracy: 66.96
Epoch: 17, Train Loss: 0.38879846455648426, Train Accuracy: 86.842, Test Loss: 0.7539309978485107, Test Accuracy: 76.71
Epoch: 18, Train Loss: 0.3847090122873521, Train Accuracy: 87.028, Test Loss: 0.47407390147447587, Test Accuracy: 83.78
Epoch: 19, Train Loss: 0.3719597387572993, Train Accuracy: 87.472, Test Loss: 0.565502872467041, Test Accuracy: 81.63
